,rating_count,price,stars,ratingta,ratingta_count,scarce_room,hotel_id,offer,year,month,weekend,holiday,distance,distance_alter,nnights,rating
count,187.0,187.0,187.0,162.0,162.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0
mean,210.14438502673798,155.67914438502675,3.842245989304813,4.280864197530864,776.0987654320987,0.5294117647058824,22147.513368983957,0.7486631016042781,2017.0,11.0,0.0,0.0,1.2930481283422457,3.4379679144385027,1.0,4.387700534759358
std,225.18022771740357,111.45799991701149,0.6603040057610958,0.3387103694344114,653.8314331537089,0.5004741584754483,143.78494837586135,0.43494633073568534,0.0,0.0,0.0,0.0,1.231837866737857,1.3007864201293535,0.0,0.22979316588126356
min,1.0,48.0,2.0,3.0,2.0,0.0,21894.0,0.0,2017.0,11.0,0.0,0.0,0.0,0.6,1.0,4.1
25%,48.0,99.5,3.5,4.0,261.0,0.0,22024.5,0.5,2017.0,11.0,0.0,0.0,0.5,2.7,1.0,4.199999999999999
50%,148.0,130.0,4.0,4.5,647.0,1.0,22134.0,1.0,2017.0,11.0,0.0,0.0,1.0,3.2,1.0,4.4
75%,306.5,168.5,4.0,4.5,1142.5,1.0,22256.0,1.0,2017.0,11.0,0.0,0.0,1.7,4.1,1.0,4.5
max,1541.0,1012.0,5.0,5.0,3171.0,1.0,22407.0,1.0,2017.0,11.0,0.0,0.0,11.0,11.0,1.0,5.0
